turbine_type,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26
ENERCON E 33,0,,0,,0,,5000,,13700,,30000,,55000,,92000,,138000,,196000,,250000,,292800,,320000,,335000,,335000,,335000,,335000,,335000,,335000,,335000,,335000,,335000,,335000,,335000,,335000,,335000,0,
ENERCON E 40 500,0,,0,,0,,4370,,18870,,40390,,88020,,112190,,165380,,236890,,328000,,396640,,465150,,495000,,500000,,500000,,500000,,500000,,500000,,500000,,500000,,500000,,500000,,500000,,500000,,500000,0,
ENERCON E 40 600,0,,0,,1700,,14740,,40800,,79640,,134800,,207100,,292600,,403400,,508100,,554600,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,0,
ENERCON E 44 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERCON E 48 800,0,,0,,2000,,12000,,32000,,66000,,120000,,191000,,284000,,405000,,555000,,671000,,750000,,790000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,0,
ENERCON E 53 800,0,,0,,2000,,14000,,38000,,77000,,141000,,228000,,336000,,480000,,645000,,744000,,780000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,,810000,0,
ENERCON E 58 1000,0,,0,,0,,4700,,28600,,72300,,140200,,233800,,381300,,545800,,725300,,905000,,987900,,1000000,,1000000,,1000000,,1000000,,1000000,,1000000,,1000000,,1000000,,1000000,,1000000,,1000000,,1000000,,1000000,0,
ENERCON E 66 1500,0,,0,,1800,,30100,,89300,,173500,,296000,,445000,,652600,,877000,,1122000,,1247400,,1337800,,1468800,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,0,
ENERCON E 66 1800,0,,0,,0,,7500,,48000,,104000,,200000,,340000,,515000,,748000,,1025000,,1348000,,1670000,,1760000,,1800000,,1800000,,1800000,,1800000,,1800000,,1800000,,1800000,,1800000,,1800000,,1800000,,1800000,,1800000,0,
ENERCON E 70 2000,0,,0,,2000,,18000,,56000,,127000,,240000,,400000,,626000,,892000,,1223000,,1590000,,1830000,,1950000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,0,
